cell,celltype_final,celltype_final_short,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940566330259,F-mini-ON,FmOn,1051.49,797.584,-13.4519,1053.712,793.28,26.92
720575940567109900,F-mini-ON,FmOn,609.958,476.417,-14.001,612.944,473.408,17.2
720575940567235447,F-mini-ON,FmOn,388.915,254.407,-18.798,385.888,252.096,46.76
720575940569803289,F-mini-ON,FmOn,711.568,310.855,-14.8531,711.104,306.272,40.24
720575940574507312,F-mini-ON,FmOn,904.676,281.086,-16.8247,906.224,278.208,51.16
720575940578689481,F-mini-ON,FmOn,432.838,271.546,-14.7969,428.208,264.128,42.4
720575940568051418,F-mini-ON,FmOn,404.894,482.678,-18.0209,400.544,478.016,9.32
720575940571731628,F-mini-ON,FmOn,628.593,324.546,-18.4576,629.856,316.832,28.36
720575940578389458,F-mini-ON,FmOn,93.4547,618.79,-13.859,90.768,614.384,42.36
720575940580246197,F-mini-ON,FmOn,323.605,567.982,-14.5022,317.824,563.184,13.76
720575940568070918,F-mini-ON,FmOn,597.788,531.843,-13.4558,596.576,529.44,23.2
720575940568152439,F-mini-ON,FmOn,100.512,479.752,-20.4331,96.928,480.512,52.6
720575940574007999,F-mini-ON,FmOn,137.285,506.223,-17.9939,132.368,499.824,39.68
720575940578460520,F-mini-ON,FmOn,868.363,530.569,-13.7023,866.048,527.52,24.88
720575940573445311,F-mini-ON,FmOn,766.992,529.924,-15.903,767.536,528.192,24.64
720575940569054134,F-mini-ON,FmOn,319.589,457.824,-11.7962,314.544,454.336,20.12
720575940568364816,F-mini-ON,FmOn,354.939,536.405,-13.1352,350.16,530.096,13.8
720575940573893664,F-mini-ON,FmOn,208.645,1088.97,-17.5151,207.424,1086.144,53.2
720575940573511741,F-mini-ON,FmOn,670.315,503.172,-15.0595,667.248,500.208,19.12
720575940568444944,F-mini-ON,FmOn,446.62,848.734,-16.9042,445.456,848.704,7.76
720575940568974670,F-mini-ON,FmOn,692.882,772.378,-15.2645,689.44,768.816,16.0
720575940573683180,F-mini-ON,FmOn,111.753,580.872,-17.6834,109.392,576.88,39.28
720575940573743769,F-mini-ON,FmOn,996.401,547.052,-12.7231,997.36,545.488,21.68
720575940568882014,F-mini-ON,FmOn,607.622,742.337,-15.6263,608.208,742.064,12.92
720575940580175797,F-mini-ON,FmOn,687.536,230.725,-18.8029,687.184,228.016,42.92
720575940568718708,F-mini-ON,FmOn,670.626,666.637,-11.4707,670.912,661.856,16.84
720575940568497146,F-mini-ON,FmOn,397.026,614.877,-15.9624,398.448,612.208,11.8
720575940568037558,F-mini-ON,FmOn,876.746,454.535,-12.4879,876.976,454.432,32.28
720575940579019210,F-mini-ON,FmOn,384.048,398.368,-13.1609,381.248,391.44,25.92
720575940567959047,F-mini-ON,FmOn,241.91,534.489,-14.3525,237.376,533.984,16.2
720575940569185718,F-mini-ON,FmOn,301.776,478.086,-13.6438,304.72,470.512,18.2
720575940569765544,F-mini-ON,FmOn,61.4213,888.718,-14.6406,60.336,887.552,55.96
720575940567137804,F-mini-ON,FmOn,891.83,323.129,-15.3117,891.344,320.704,40.16
720575940569721182,F-mini-ON,FmOn,1031.74,453.099,-16.9762,1034.208,449.984,30.8
720575940568580085,F-mini-ON,FmOn,278.464,967.255,-13.9293,277.504,968.352,19.44
720575940567264353,F-mini-ON,FmOn,898.422,885.417,-12.4038,899.664,883.328,22.52
720575940569626536,F-mini-ON,FmOn,709.383,1099.54,-12.5379,708.032,1094.464,22.56
720575940567418168,F-mini-ON,FmOn,626.32,886.007,-13.7656,623.264,884.016,19.44
720575940575198166,F-mini-ON,FmOn,657.586,800.937,-15.7997,655.376,798.688,15.68
720575940567493628,F-mini-ON,FmOn,340.269,298.04,-17.6696,338.368,291.024,43.16
720575940575189321,F-mini-ON,FmOn,287.132,426.451,-13.7083,282.592,417.664,22.04
720575940569536952,F-mini-ON,FmOn,1003.6,889.304,-13.9668,999.696,886.928,21.16
