cell,celltype_final,soma_x_um,soma_y_um,soma_z_um
720575940574049784,t5i,654.722,605.456,32.8525
720575940541814392,t5i,714.311,541.938,32.7387
720575940566749587,t5i,673.279,552.459,29.5534
720575940552963653,t5i,717.308,573.072,34.2764
720575940564032737,t5i,686.292,653.768,33.7574
720575940566986485,t5i,647.694,621.166,36.1733
720575940556523223,t5i,688.805,569.787,31.8594
720575940558832984,t5i,619.849,600.001,34.8541
720575940575595901,t5i,663.134,597.66,35.9161
720575940551919922,t5i,743.925,598.583,34.3849
720575940569768481,t5i,696.741,579.255,33.9273
720575940561331114,t5i,671.192,612.839,36.7928
720575940578594506,t5i,668.223,628.963,35.3289
720575940552245887,t5i,694.578,657.496,33.1829
720575940555174398,t5i,678.371,560.51,31.0883
720575940554070526,t5i,684.17,540.358,30.4477
720575940549016983,t5i,657.949,552.535,30.1377
720575940547308951,t5i,656.059,581.207,34.1545
720575940569306657,t5i,706.961,555.093,32.45
720575940548179863,t5i,648.601,563.448,32.7359
720575940585931005,t5i,664.831,525.566,31.8167
720575940561253099,t5i,662.911,647.061,35.362
720575940567937458,t5i,658.161,637.909,35.0877
720575940582521646,t5i,736.446,626.273,34.7125
720575940555087614,t5i,736.027,618.364,33.9217
720575940571757471,t5i,653.865,543.804,29.5256
720575940583885102,t5i,699.67,670.274,32.9624
720575940558092346,t5i,665.74,612.198,36.6377
720575940563758143,t5i,662.962,646.354,35.2763
720575940554536958,t5i,729.732,595.865,35.3881
720575940562768723,t5i,706.016,566.746,32.5823
720575940585498902,t5i,636.91,597.828,36.556
720575940569772321,t5o,676.928,574.417,33.7911
720575940569682465,t5o,696.305,625.752,33.2019
720575940579134782,t5o,621.185,604.417,35.6799
720575940570454203,t5o,724.421,587.163,35.7455
720575940570691244,t5o,752.431,590.509,33.3942
720575940554554967,t5o,725.456,620.528,31.5025
720575940574501535,t5o,665.894,604.73,34.4297
720575940552247090,t5o,743.036,605.625,34.4167
720575940551891762,t5o,728.225,606.363,33.5751
720575940578262873,t5o,660.702,531.188,31.3086
720575940550775959,t5o,646.573,551.894,30.8419
720575940578593994,t5o,731.604,560.798,33.6045
720575940555246551,t5o,684.812,539.975,30.3069
720575940569662902,t5o,702.609,636.282,33.1215
720575940555867095,t5o,680.639,617.309,34.4231
720575940558286216,t5o,638.172,610.227,35.9778
720575940561528260,t5o,645.023,558.459,31.8432
720575940568630544,t5o,639.648,631.789,35.9817
720575940562982423,t5o,705.915,546.183,32.225
720575940558627426,t5o,663.209,629.499,35.2251
720575940556617687,t5o,685.118,567.917,31.877
720575940568534349,t5o,693.173,575.856,33.3337
720575940569057569,t5o,677.656,542.951,30.0182
720575940557157847,t5o,709.631,615.181,32.3149
720575940564880137,t5o,658.765,594.534,35.8231
720575940558399624,t5o,640.924,566.66,33.6861
720575940567051509,t5o,651.767,576.979,35.2848
720575940568980746,t5o,752.06,599.878,32.7749
720575940568855841,t5t,688.748,593.203,35.7986
720575940554267390,t5t,710.423,544.671,32.5917
720575940570346785,t5t,751.118,579.368,36.021
720575940559572059,t5t,728.044,557.987,31.3415
720575940555244759,t5t,684.661,548.161,30.1931
720575940577366361,t5t,678.256,532.739,30.2203
720575940576726202,t5t,694.169,654.994,33.9679
720575940568361042,t5t,740.763,601.055,34.7549
720575940551511489,t5t,712.681,581.864,34.6619
720575940557509847,t5t,646.116,630.903,35.8083
720575940576720917,t5t,694.291,568.434,31.8597
720575940576550318,t5t,669.557,631.483,35.274
720575940568016649,t5t,717.708,640.996,33.5558
720575940571362271,t5t,681.848,660.625,31.7834
720575940555090430,t5t,714.196,606.668,31.8785
720575940553647870,t5t,738.684,612.688,34.2592
720575940574043295,t5t,682.179,572.599,33.2091
720575940566799672,t5t,716.896,626.905,33.4521
720575940567855201,t5t,666.881,598.963,35.8645
720575940554212350,t5t,705.339,587.651,34.4743
720575940577347390,t5t,646.472,591.015,31.9789
720575940559977011,t5t,615.636,579.16,32.6021
720575940551571115,t5t,660.281,612.06,31.6933
720575940556062250,t5t,607.69,613.433,34.1621
720575940556525527,t5t,684.662,551.326,30.1365
720575940578396164,t5t,658.655,541.088,29.4832
720575940564720365,t5t,648.285,568.459,34.2534
720575940556692527,t5t,765.556,586.432,35.3184
720575940545203797,t5t,620.488,610.843,34.9716
720575940548191127,t5t,653.074,640.651,33.2862
720575940569442411,t5t,652.499,545.792,29.9202
720575940585602813,t5t,675.878,516.032,31.2912
720575940585558838,t5t,701.658,612.282,31.7163
720575940555824087,t5t,732.073,583.064,36.5884
720575940563967201,t5t,662.407,572.203,34.0108
720575940563292991,t6,693.135,541.888,30.9694
720575940566639390,t6,744.225,599.313,34.4273
720575940566746633,t6,663.333,620.93,35.3959
720575940561844158,t6,723.045,640.696,33.5767
720575940553692835,t6,718.822,627.192,33.4289
720575940574392556,t6,708.255,555.646,31.4744
720575940562527486,t6,668.097,528.748,31.6716
720575940553876478,t6,691.886,562.067,31.1174
720575940573595039,t6,655.715,563.85,33.2233
720575940561854142,t6,629.977,609.864,36.6868
720575940562437559,t6,679.792,543.104,29.8805
720575940574787832,t6,701.651,664.212,33.7976
720575940552219442,t6,703.301,645.557,34.6141
720575940560083121,t6,717.181,572.59,34.1929
720575940552083250,t6,704.816,552.78,32.2616
720575940560200369,t6,724.362,619.7,33.2379
720575940561072580,t6,648.866,594.02,36.1226
720575940578371588,t6,686.952,655.1,32.219
720575940561201948,t6,648.562,635.752,35.5645
720575940551678359,t6,694.85,658.021,33.4451
720575940551734935,t6,710.393,659.739,35.8187
720575940564437303,t6,619.333,589.682,31.1851
720575940577471321,t6,673.652,539.759,30.2732
720575940550656736,t6,731.33,620.047,33.9073
720575940580639806,t6,647.396,581.318,35.4894
720575940549929367,t6,672.343,590.758,34.358
720575940561539780,t6,635.028,617.693,36.2657
720575940563677759,t6,638.407,580.893,35.7178
720575940563677265,t6,754.137,606.323,33.3343
720575940561569988,t6,643.317,571.918,34.5584
720575940576697786,t6,730.977,640.651,34.3503
720575940577902169,t6,688.304,528.624,30.7292
720575940552216626,t6,709.91,637.737,33.4838
720575940569574689,t6,673.515,591.291,34.4192
720575940540680568,t6,737.596,627.538,34.7786
720575940569091873,t6,713.613,590.945,34.1995
720575940557057698,t6,679.433,632.518,35.7986
720575940555141886,t6,689.372,587.055,35.5928
720575940569916193,t6,700.178,610.434,31.622
720575940555147262,t6,705.68,567.266,32.8215
720575940569920289,t6,684.742,625.633,35.8307
720575940555740926,t6,717.596,617.488,32.9132
720575940555472402,t6,704.228,651.799,33.8001
720575940570045473,t6,686.689,578.002,33.8948
720575940555137790,t6,715.898,571.633,33.8786
720575940556994519,t6,683.512,614.729,34.2734
720575940569003297,t6,728.394,553.357,33.3082
720575940568107529,t6,712.705,650.483,34.7158
720575940555174142,t6,677.326,559.539,30.9394
720575940570304545,t6,676.631,642.687,34.7894
720575940556995031,t6,698.273,637.836,34.4492
720575940570326049,t6,675.885,624.996,36.2793
720575940572190879,t6,661.19,640.005,35.3693
720575940570335777,t6,758.695,578.032,35.9687
720575940570467873,t6,745.098,572.194,35.3637
720575940567927561,t6,652.153,614.565,36.6939
720575940557157079,t6,689.414,643.204,34.8275
720575940571748255,t6,659.536,573.47,34.2612
720575940557579682,t6,684.91,551.644,30.3159
720575940569779489,t6,697.87,548.908,31.2512
720575940558214280,t6,629.794,623.642,36.2489
720575940556061694,t6,746.135,579.944,35.9096
720575940555002366,t6,685.702,601.006,34.3763
720575940569241997,t6,687.037,654.626,33.8202
720575940571955359,t6,652.593,609.233,37.0117
720575940556510423,t6,732.217,603.65,34.3831
720575940569371681,t6,671.608,561.333,31.3852
720575940569092385,t6,723.822,595.322,34.6849
720575940557577352,t6,636.15,585.89,36.4743
720575940567924745,t6,655.433,628.477,35.4264
720575940555408638,t7,693.098,628.015,34.1599
720575940556204286,t7,710.564,615.406,32.4567
720575940569500449,t7,702.274,602.667,33.1548
720575940569699766,t7,639.689,632.327,34.9988
720575940555408382,t7,683.911,632.601,36.0188
720575940570298043,t7,722.168,628.367,33.7115
720575940555746302,t7,722.134,607.355,32.5729
720575940561582532,t7,624.197,613.021,36.8385
720575940555745278,t7,714.098,627.518,33.2942
720575940564553858,t7,675.286,514.756,30.9489
720575940556943778,t7,738.581,612.848,34.4548
720575940556019927,t7,685.122,547.81,30.2229
720575940550579095,t7,705.196,651.281,34.7697
720575940555883479,t7,680.998,604.166,34.585
720575940549894039,t7,665.908,576.018,33.735
720575940564917769,t7,666.437,608.476,36.8371
720575940572227487,t7,660.828,642.14,33.0831
720575940559691141,t7,716.626,571.66,33.8739
720575940552324914,t7,764.341,581.022,35.7681
720575940552271317,t7,694.149,657.154,33.6366
720575940551733143,t7,705.202,663.53,35.1579
720575940552870746,t7,651.987,618.186,36.5139
720575940566776417,t7,754.331,606.83,33.2866
720575940566783329,t7,746.312,629.523,34.3488
720575940555035390,t7,713.612,589.96,34.4122
720575940566703134,t7,702.416,635.084,33.7503
720575940574015647,t7,672.066,561.287,31.3032
720575940553876734,t7,704.3,538.797,31.8326
720575940569642166,t7,699.962,680.753,37.4562
720575940554550834,t7,682.85,572.948,32.1086
720575940554482686,t7,692.66,562.342,31.2194
720575940554529278,t7,728.017,606.991,33.3209
720575940554543614,t7,744.983,593.7,34.2125
720575940573601439,t7,646.392,552.858,30.8633
720575940568075636,t7,655.488,599.345,36.362
