cell,celltype_final,soma_x_um,soma_y_um,soma_z_um,soma_annot_x_um,soma_annot_y_um,soma_annot_z_um
720575940566905090,OFF SAC,320.756,596.972,27.0672,317.728,591.104,58.36
720575940566856041,OFF SAC,947.785,1043.66,25.119,945.952,1041.504,74.64
720575940566852994,OFF SAC,538.347,886.977,33.3367,536.352,883.696,69.36
720575940566833949,OFF SAC,618.047,760.677,24.6186,615.552,758.064,65.48
720575940564205352,OFF SAC,426.096,483.496,26.226,418.912,478.432,58.6
720575940563872429,OFF SAC,320.782,519.998,31.0022,316.784,515.424,66.48
720575940567636698,OFF SAC,805.088,844.485,26.8786,807.312,840.768,67.4
720575940567661718,OFF SAC,639.797,373.847,22.2066,638.96,371.456,80.44
720575940563400958,OFF SAC,774.913,641.583,26.5571,774.208,637.072,70.32
720575940563402494,OFF SAC,568.02,584.316,23.7327,568.352,577.712,72.32
720575940568024651,OFF SAC,910.988,448.853,24.4094,911.568,445.84,80.04
720575940567969903,OFF SAC,660.239,599.621,29.7991,658.88,593.888,74.4
720575940567969020,OFF SAC,646.717,992.839,23.2102,646.88,989.072,65.12
720575940567928561,OFF SAC,292.248,455.124,24.6462,288.384,450.24,75.68
720575940563485438,OFF SAC,289.214,976.618,23.0518,288.56,974.128,69.88
720575940567919286,OFF SAC,1022.76,632.012,28.0989,1021.504,629.488,73.2
720575940563525815,OFF SAC,372.798,451.063,24.2192,368.272,443.168,67.04
720575940567885494,OFF SAC,1045.34,589.299,24.271,1044.544,586.048,74.72
720575940567877898,OFF SAC,530.016,427.893,23.4269,529.072,424.16,58.12
720575940563551919,OFF SAC,573.985,614.581,25.5245,571.2,611.424,72.4
720575940563625903,OFF SAC,720.836,722.542,25.0374,721.024,716.192,67.36
720575940567796024,OFF SAC,761.106,545.366,26.0942,764.736,542.08,73.56
720575940563668619,OFF SAC,544.754,522.403,24.5256,540.768,516.64,61.76
720575940563670598,OFF SAC,825.814,598.755,26.1751,822.88,593.872,69.8
720575940567736758,OFF SAC,377.074,369.625,25.2542,374.432,364.384,82.44
720575940563725495,OFF SAC,837.28,583.211,25.1471,837.456,580.144,74.88
720575940567667162,OFF SAC,771.426,950.153,24.2686,770.528,948.56,59.8
720575940564353212,OFF SAC,499.0,593.001,24.9591,494.512,585.6,63.96
720575940563389510,OFF SAC,801.095,992.725,26.7072,800.08,992.16,62.72
720575940564368368,OFF SAC,563.125,460.979,23.2386,561.328,455.136,56.96
720575940564438839,OFF SAC,670.578,572.19,24.5979,667.472,567.936,66.0
720575940565134438,OFF SAC,957.936,473.512,23.5354,959.696,470.48,68.8
720575940566173797,OFF SAC,575.599,829.589,23.6397,572.736,823.984,63.44
720575940566158956,OFF SAC,932.393,576.47,24.5236,932.352,573.152,66.64
720575940566109167,OFF SAC,898.269,888.646,28.6528,901.552,886.528,68.36
720575940565210871,OFF SAC,711.506,937.989,25.3962,710.528,938.32,63.68
720575940565249565,OFF SAC,397.422,422.741,25.2282,393.056,420.176,72.04
720575940566043892,OFF SAC,630.544,708.876,25.8001,629.664,707.744,66.08
720575940565332656,OFF SAC,230.507,987.018,23.6806,227.472,985.472,79.04
720575940565032103,OFF SAC,845.891,823.228,25.087,845.648,821.264,61.44
720575940565952222,OFF SAC,817.395,453.339,22.4835,814.4,448.592,78.12
720575940565434279,OFF SAC,342.199,847.669,26.8703,337.28,846.016,46.8
720575940565922782,OFF SAC,777.082,465.782,22.8457,775.744,462.752,77.36
720575940565486436,OFF SAC,700.616,1038.46,26.2484,699.488,1035.36,63.08
720575940565875444,OFF SAC,513.187,711.974,25.5519,510.496,708.832,59.8
720575940565505245,OFF SAC,631.27,802.533,30.8823,626.736,799.04,67.8
720575940565837570,OFF SAC,303.54,419.641,22.5955,300.144,414.816,73.8
720575940565606391,OFF SAC,684.687,876.616,27.7504,685.696,871.104,63.32
720575940565675677,OFF SAC,754.596,650.109,27.0526,751.936,648.32,74.44
720575940565403010,OFF SAC,888.517,437.718,23.81,887.52,433.728,76.88
720575940565010145,OFF SAC,461.77,508.116,25.983,458.48,501.648,52.76
720575940564979675,OFF SAC,642.883,911.293,25.8301,640.176,908.704,62.24
720575940564971109,OFF SAC,656.246,765.706,22.729,656.592,761.024,65.24
720575940564472783,OFF SAC,415.073,576.277,31.8642,411.92,569.632,69.72
720575940564478140,OFF SAC,709.206,900.22,33.0351,709.232,895.136,69.2
720575940566679671,OFF SAC,628.317,442.583,23.778,626.64,438.592,65.8
720575940564521371,OFF SAC,567.276,686.136,25.9588,563.568,683.008,69.04
720575940566648240,OFF SAC,370.739,470.438,24.2475,367.104,465.648,61.36
720575940566608548,OFF SAC,903.639,542.003,28.8637,902.896,538.016,66.6
720575940564607392,OFF SAC,770.187,673.667,24.1123,769.52,670.88,68.76
720575940564608752,OFF SAC,459.307,709.59,26.8699,456.928,705.728,56.56
720575940566585697,OFF SAC,458.01,1046.17,23.6678,457.504,1044.592,69.32
720575940564618912,OFF SAC,505.279,610.348,25.0993,502.496,606.256,65.64
720575940564625975,OFF SAC,595.179,815.14,26.304,593.504,809.728,66.12
720575940564652960,OFF SAC,810.295,624.092,25.2284,811.072,617.536,74.12
720575940566580577,OFF SAC,219.139,759.232,23.9996,216.24,756.784,59.12
720575940566536812,OFF SAC,643.014,558.53,25.339,639.6,553.936,71.92
720575940564759865,OFF SAC,689.685,612.07,24.198,687.296,609.12,71.36
720575940566508396,OFF SAC,706.995,522.57,24.9762,708.896,517.648,75.6
720575940564826982,OFF SAC,651.388,427.855,26.2533,654.416,424.288,80.72
720575940566373359,OFF SAC,794.001,796.424,25.2715,793.392,793.888,60.52
720575940564889167,OFF SAC,706.549,279.894,10.3236,705.76,275.824,76.0
720575940566765058,OFF SAC,673.302,1043.73,22.4597,671.2,1042.768,63.2
720575940563387718,OFF SAC,855.773,1059.39,23.9598,852.528,1056.656,73.28
720575940568037231,OFF SAC,208.473,472.82,23.3301,204.72,468.976,77.48
720575940563355959,OFF SAC,274.921,656.9,24.4817,270.736,653.488,57.96
720575940561693866,OFF SAC,1080.9,595.126,23.8748,1079.808,592.976,73.84
720575940561695011,OFF SAC,575.746,526.023,29.0341,573.92,519.824,65.44
720575940561705642,OFF SAC,1063.53,630.867,25.7708,1062.304,627.024,76.24
720575940569069297,OFF SAC,318.438,488.037,24.6584,314.48,484.384,64.08
720575940561794186,OFF SAC,895.016,622.85,24.5967,893.6,619.264,67.28
720575940561796700,OFF SAC,660.22,1070.46,23.5315,659.136,1067.04,64.88
720575940561838571,OFF SAC,853.227,690.3,31.0812,849.984,686.896,69.6
720575940561867214,OFF SAC,286.073,412.696,24.9618,283.344,409.808,80.6
720575940569123188,OFF SAC,824.138,816.483,26.7354,821.584,815.456,66.0
720575940569018190,OFF SAC,892.318,1056.8,24.9953,891.248,1055.184,68.36
720575940561899426,OFF SAC,685.452,729.003,26.4111,686.992,729.856,72.2
720575940561962146,OFF SAC,356.878,596.096,26.4987,354.256,593.136,55.8
720575940568968202,OFF SAC,251.049,884.127,25.444,247.04,883.04,62.52
720575940568941831,OFF SAC,832.205,643.839,25.1041,832.224,644.56,68.96
720575940562036878,OFF SAC,302.146,1014.03,23.7786,299.616,1011.312,77.68
720575940562094918,OFF SAC,963.814,699.958,24.4751,963.824,698.944,60.76
720575940568879437,OFF SAC,112.588,823.392,22.4267,109.296,823.248,76.48
720575940568862732,OFF SAC,374.938,536.846,25.8021,371.84,532.384,61.88
720575940569010956,OFF SAC,683.899,852.124,26.9431,682.0,849.28,58.76
720575940561631772,OFF SAC,726.044,802.111,24.4176,727.328,798.0,66.48
720575940569168491,OFF SAC,687.302,431.696,22.0127,685.136,425.584,70.16
720575940561577433,OFF SAC,249.747,954.15,23.0475,249.824,952.736,64.52
720575940569436790,OFF SAC,713.828,422.716,24.4073,716.32,416.208,82.56
720575940561225424,OFF SAC,808.751,954.383,26.6011,807.28,952.176,60.76
720575940569362442,OFF SAC,884.352,943.965,23.7435,882.72,942.336,61.04
720575940561311153,OFF SAC,594.894,694.005,22.8646,595.072,690.736,72.8
720575940561313694,OFF SAC,423.791,338.1,21.9811,421.344,333.824,79.6
720575940561328286,OFF SAC,475.264,300.126,21.6763,473.664,295.568,80.96
720575940569314379,OFF SAC,908.634,506.074,27.586,908.512,501.616,66.32
720575940561367978,OFF SAC,671.253,632.319,22.8263,669.456,630.016,69.48
720575940561375580,OFF SAC,667.338,750.635,23.7552,664.208,747.328,61.24
720575940569285195,OFF SAC,494.88,675.692,30.6331,492.128,670.672,68.32
720575940561387292,OFF SAC,489.901,917.483,26.978,488.528,915.68,61.44
720575940569260554,OFF SAC,686.967,961.617,23.1001,685.76,956.432,62.64
720575940561414046,OFF SAC,113.254,782.396,22.1953,110.688,780.448,77.32
720575940561427408,OFF SAC,347.167,525.625,24.5403,340.512,522.064,59.08
720575940561430224,OFF SAC,293.326,476.744,28.4197,288.56,472.64,72.16
720575940561442908,OFF SAC,434.615,394.275,28.0898,432.688,390.624,74.64
720575940569260107,OFF SAC,474.537,659.355,25.1962,471.584,658.128,61.2
720575940561519018,OFF SAC,449.426,633.667,27.2681,445.792,629.584,58.72
720575940569220018,OFF SAC,689.941,676.754,24.4965,688.048,673.44,67.84
720575940562148542,OFF SAC,267.989,469.015,23.0034,264.576,464.928,67.72
720575940568729594,OFF SAC,697.713,500.204,22.7884,696.928,498.16,69.36
720575940562231502,OFF SAC,1071.9,882.479,24.819,1073.184,879.104,73.56
720575940562250475,OFF SAC,500.993,455.696,23.1875,496.768,451.664,54.4
720575940562966430,OFF SAC,732.536,704.517,25.474,731.168,697.824,70.0
720575940568314357,OFF SAC,682.73,1022.35,23.5544,682.32,1021.12,63.64
720575940563034779,OFF SAC,707.83,444.991,26.8351,708.528,442.224,79.96
720575940563038908,OFF SAC,878.321,386.519,22.1011,877.408,383.088,77.04
720575940563045702,OFF SAC,568.347,396.216,23.7373,566.72,391.728,69.44
720575940563061436,OFF SAC,479.106,419.976,23.2119,477.296,417.424,58.0
720575940568295430,OFF SAC,121.469,692.569,22.2231,118.464,689.728,78.04
720575940568254561,OFF SAC,353.249,812.426,24.9814,347.456,809.168,48.6
720575940563143643,OFF SAC,784.292,343.113,12.7385,783.312,340.16,75.84
720575940568201994,OFF SAC,441.939,330.154,22.3612,438.976,325.52,82.32
720575940568186701,OFF SAC,559.056,255.919,9.35035,557.408,250.528,72.0
720575940568142342,OFF SAC,370.189,407.564,25.3537,366.4,404.144,73.52
720575940563271494,OFF SAC,675.288,775.54,23.2002,671.232,773.792,67.32
720575940563295164,OFF SAC,252.188,414.487,21.0028,249.904,411.184,75.88
720575940568111370,OFF SAC,542.448,657.159,25.1677,538.864,654.256,62.32
720575940563306959,OFF SAC,836.87,418.957,22.0936,838.768,415.072,82.12
720575940563309953,OFF SAC,809.579,1030.69,26.8227,808.32,1029.92,66.24
720575940568050849,OFF SAC,498.459,1037.59,30.9703,496.384,1035.376,76.52
720575940568042714,OFF SAC,439.035,585.392,28.1239,435.248,580.672,66.08
720575940568339873,OFF SAC,596.845,886.058,23.441,593.808,883.872,63.2
720575940573858377,OFF SAC,475.058,344.454,25.5364,473.824,339.2,77.12
720575940562890398,OFF SAC,561.093,597.251,22.5541,559.744,593.68,69.64
720575940562850380,OFF SAC,511.757,1073.2,24.389,509.6,1070.864,75.68
720575940568670558,OFF SAC,1062.94,599.791,27.0838,1061.968,599.504,81.28
720575940562278379,OFF SAC,402.788,484.512,25.2234,395.216,479.216,61.52
720575940568649488,OFF SAC,115.214,723.075,22.7146,113.024,720.048,78.52
720575940562298558,OFF SAC,788.037,565.978,25.939,785.44,561.504,71.56
720575940562343403,OFF SAC,469.003,564.108,28.8673,465.12,561.184,65.68
720575940562345354,OFF SAC,431.2,634.187,26.1802,425.44,627.744,60.92
720575940562377866,OFF SAC,833.518,546.199,24.4166,834.48,539.808,76.2
720575940562430425,OFF SAC,913.501,916.829,22.5242,915.968,916.224,65.36
720575940562508286,OFF SAC,849.686,406.913,23.0672,847.76,404.336,78.12
720575940568556143,OFF SAC,958.609,1004.67,29.1942,961.408,1004.064,81.08
720575940562521271,OFF SAC,620.902,552.674,29.4551,618.096,548.224,73.84
720575940562531774,OFF SAC,782.302,946.448,24.8832,784.848,945.408,60.84
720575940562599422,OFF SAC,878.795,469.315,23.3092,879.008,466.416,74.8
720575940562612990,OFF SAC,936.528,460.224,24.3516,935.872,459.184,73.4
720575940568510898,OFF SAC,166.876,747.957,23.6204,162.8,743.712,70.68
720575940562667737,OFF SAC,761.738,596.383,24.3344,761.872,594.304,70.72
720575940568395120,OFF SAC,401.568,704.911,22.9608,397.792,700.8,61.84
720575940562834923,OFF SAC,696.111,919.79,30.9731,693.152,914.304,67.2
720575940568389151,OFF SAC,229.617,559.096,28.6085,224.384,553.2,69.12
720575940562853790,OFF SAC,551.896,484.047,24.669,549.856,480.016,56.08
